nothing_prob,throw_wind_up_prob,throw_prob,throw_follow_through_prob,swing_wind_up_prob,swing_prob,swing_follow_through_prob
0.797,0.005,0.083,0.017,0.0,0.047,0.051
0.399,0.426,0.146,0.0,0.0,0.014,0.015
0.53,0.04,0.127,0.007,0.001,0.29,0.004
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.987,0.0,0.013,0.0,0.0,0.0,0.0
0.984,0.004,0.004,0.0,0.0,0.005,0.003
0.175,0.015,0.263,0.0,0.0,0.508,0.038
0.687,0.113,0.079,0.039,0.0,0.073,0.009
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.093,0.009,0.185,0.0,0.0,0.559,0.153
0.628,0.21,0.007,0.153,0.0,0.001,0.002
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032,0.004,0.843,0.0,0.0,0.119,0.002
0.606,0.267,0.078,0.038,0.0,0.006,0.004
0.997,0.002,0.001,0.0,0.0,0.0,0.0
0.79,0.091,0.093,0.0,0.0,0.002,0.025
0.774,0.0,0.0,0.226,0.0,0.0,0.0
0.999,0.0,0.001,0.0,0.0,0.001,0.0
0.989,0.0,0.002,0.0,0.007,0.002,0.0
0.993,0.0,0.0,0.0,0.003,0.004,0.0
0.994,0.003,0.0,0.002,0.0,0.0,0.0
0.993,0.0,0.005,0.0,0.0,0.002,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.259,0.0,0.009,0.0,0.0,0.733,0.0
0.923,0.031,0.014,0.028,0.0,0.004,0.001
0.699,0.012,0.009,0.001,0.0,0.025,0.255
0.576,0.385,0.001,0.034,0.0,0.002,0.002
0.985,0.003,0.002,0.0,0.006,0.001,0.002
0.919,0.056,0.01,0.005,0.0,0.006,0.003
0.951,0.038,0.005,0.001,0.0,0.003,0.002
0.957,0.038,0.003,0.0,0.001,0.0,0.001
0.995,0.001,0.003,0.001,0.0,0.0,0.0
0.922,0.0,0.002,0.046,0.011,0.018,0.001
0.315,0.016,0.002,0.656,0.008,0.003,0.0
0.995,0.001,0.002,0.001,0.001,0.0,0.0
0.983,0.003,0.0,0.008,0.005,0.0,0.0
0.998,0.0,0.001,0.0,0.001,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.987,0.0,0.001,0.001,0.007,0.003,0.0
0.776,0.008,0.002,0.196,0.006,0.011,0.001
0.996,0.002,0.001,0.0,0.0,0.0,0.0
0.957,0.023,0.014,0.001,0.0,0.004,0.002
0.986,0.012,0.002,0.0,0.0,0.0,0.001
0.959,0.006,0.008,0.007,0.004,0.008,0.009
0.995,0.001,0.001,0.001,0.001,0.001,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
0.291,0.069,0.271,0.005,0.0,0.041,0.324
0.571,0.274,0.045,0.022,0.002,0.027,0.06
0.986,0.002,0.002,0.001,0.0,0.002,0.007
0.767,0.116,0.004,0.002,0.0,0.004,0.108
0.968,0.021,0.003,0.0,0.001,0.005,0.002
0.998,0.0,0.001,0.0,0.0,0.001,0.0
0.845,0.04,0.007,0.099,0.001,0.007,0.001
0.992,0.001,0.002,0.0,0.0,0.001,0.004
0.969,0.028,0.001,0.001,0.0,0.0,0.0
0.997,0.0,0.002,0.0,0.0,0.0,0.0
0.848,0.048,0.009,0.003,0.0,0.005,0.086
0.793,0.174,0.014,0.001,0.0,0.013,0.005
0.089,0.904,0.001,0.0,0.0,0.001,0.004
0.956,0.003,0.001,0.0,0.012,0.002,0.025
0.985,0.0,0.0,0.015,0.0,0.0,0.0
0.059,0.722,0.014,0.002,0.001,0.027,0.176
0.942,0.008,0.0,0.048,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.206,0.776,0.002,0.002,0.002,0.01,0.003
0.008,0.098,0.01,0.0,0.0,0.023,0.861
0.204,0.003,0.0,0.0,0.793,0.0,0.0
0.008,0.984,0.001,0.001,0.0,0.001,0.005
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.979,0.009,0.006,0.0,0.003,0.001,0.003
0.997,0.001,0.0,0.0,0.001,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.843,0.09,0.034,0.0,0.0,0.033,0.0
0.997,0.0,0.0,0.0,0.001,0.001,0.0
0.999,0.0,0.001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.864,0.001,0.055,0.0,0.0,0.069,0.011
0.997,0.0,0.0,0.001,0.003,0.0,0.0
0.836,0.0,0.163,0.0,0.0,0.0,0.0
0.981,0.0,0.0,0.019,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998,0.001,0.001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047,0.003,0.264,0.0,0.0,0.648,0.038
0.999,0.0,0.0,0.0,0.001,0.0,0.0
0.605,0.006,0.379,0.0,0.0,0.01,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.993,0.001,0.003,0.0,0.0,0.004,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.187,0.002,0.158,0.0,0.0,0.462,0.193
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.996,0.002,0.001,0.001,0.0,0.0,0.0
0.375,0.002,0.591,0.0,0.0,0.031,0.0
0.994,0.0,0.004,0.0,0.0,0.001,0.001
0.296,0.283,0.002,0.007,0.0,0.003,0.409
0.992,0.003,0.0,0.003,0.0,0.0,0.002
0.998,0.001,0.0,0.001,0.0,0.0,0.0
0.992,0.003,0.002,0.001,0.0,0.0,0.001
0.806,0.069,0.002,0.006,0.0,0.003,0.114
0.993,0.001,0.0,0.001,0.0,0.0,0.004
0.945,0.044,0.001,0.001,0.0,0.001,0.008
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.991,0.0,0.0,0.004,0.004,0.0,0.0
0.885,0.001,0.0,0.004,0.11,0.0,0.0
0.991,0.0,0.008,0.0,0.0,0.001,0.0
0.998,0.0,0.002,0.0,0.0,0.0,0.0
0.998,0.0,0.0,0.0,0.001,0.0,0.0
0.995,0.0,0.0,0.005,0.0,0.0,0.0
0.94,0.0,0.0,0.06,0.0,0.0,0.0
0.65,0.318,0.025,0.0,0.0,0.003,0.003
0.014,0.973,0.0,0.0,0.0,0.0,0.013
0.999,0.0,0.001,0.0,0.0,0.0,0.0
0.968,0.0,0.0,0.032,0.0,0.0,0.0
0.997,0.0,0.003,0.0,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.947,0.004,0.0,0.042,0.006,0.0,0.0
0.985,0.001,0.003,0.0,0.0,0.011,0.0
0.145,0.026,0.027,0.009,0.001,0.339,0.454
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.977,0.0,0.0,0.023,0.0,0.0,0.0
0.677,0.038,0.002,0.269,0.002,0.011,0.002
0.997,0.002,0.0,0.0,0.0,0.0,0.001
0.996,0.0,0.0,0.004,0.0,0.0,0.0
0.997,0.0,0.0,0.003,0.0,0.0,0.0
0.998,0.0,0.0,0.001,0.0,0.0,0.0
0.997,0.0,0.0,0.003,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.572,0.003,0.0,0.001,0.421,0.001,0.002
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.964,0.0,0.0,0.036,0.0,0.0,0.0
0.998,0.002,0.0,0.0,0.0,0.0,0.001
0.997,0.0,0.0,0.003,0.0,0.0,0.0
0.986,0.0,0.0,0.014,0.0,0.0,0.0
0.994,0.003,0.0,0.001,0.0,0.0,0.0
0.99,0.007,0.0,0.0,0.0,0.0,0.002
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.987,0.001,0.0,0.012,0.0,0.0,0.0
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
0.991,0.0,0.0,0.008,0.0,0.0,0.0
0.988,0.001,0.003,0.001,0.006,0.0,0.0
0.905,0.028,0.003,0.003,0.041,0.004,0.015
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.988,0.0,0.0,0.011,0.0,0.0,0.0
0.99,0.004,0.0,0.006,0.0,0.0,0.0
0.972,0.0,0.003,0.0,0.025,0.0,0.0
0.004,0.0,0.0,0.0,0.996,0.0,0.0
0.981,0.0,0.0,0.01,0.007,0.002,0.0
0.998,0.001,0.0,0.0,0.001,0.0,0.0
0.998,0.0,0.001,0.0,0.0,0.0,0.0
0.801,0.0,0.0,0.0,0.199,0.0,0.0
0.653,0.0,0.0,0.0,0.345,0.001,0.0
0.837,0.0,0.0,0.0,0.162,0.0,0.0
0.997,0.0,0.0,0.001,0.001,0.001,0.0
0.995,0.001,0.0,0.0,0.003,0.0,0.0
0.945,0.0,0.0,0.0,0.054,0.0,0.0
0.997,0.0,0.0,0.001,0.002,0.0,0.0
0.912,0.0,0.0,0.0,0.088,0.0,0.0
0.951,0.0,0.0,0.0,0.047,0.001,0.0
0.993,0.0,0.0,0.0,0.006,0.0,0.0
0.869,0.0,0.0,0.0,0.13,0.0,0.0
0.005,0.0,0.0,0.0,0.995,0.0,0.0
0.998,0.0,0.0,0.001,0.002,0.0,0.0
0.695,0.182,0.056,0.002,0.0,0.057,0.008
0.755,0.16,0.033,0.003,0.019,0.009,0.02
0.979,0.011,0.005,0.0,0.0,0.001,0.004
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.994,0.0,0.0,0.005,0.0,0.001,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.079,0.001,0.857,0.0,0.0,0.061,0.002
0.003,0.98,0.017,0.0,0.0,0.0,0.0
0.992,0.0,0.002,0.0,0.0,0.006,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034,0.0,0.824,0.0,0.0,0.14,0.001
0.962,0.019,0.004,0.0,0.0,0.0,0.015
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.892,0.003,0.105,0.0,0.0,0.0,0.0
0.975,0.0,0.013,0.0,0.0,0.008,0.003
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.993,0.0,0.006,0.0,0.0,0.0,0.0
0.068,0.878,0.044,0.001,0.0,0.003,0.006
0.997,0.0,0.0,0.003,0.0,0.0,0.0
0.601,0.079,0.0,0.006,0.0,0.0,0.315
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.997,0.0,0.0,0.0,0.0,0.003,0.0
0.984,0.0,0.016,0.0,0.0,0.0,0.0
0.189,0.806,0.001,0.003,0.0,0.001,0.0
0.943,0.037,0.0,0.02,0.0,0.0,0.0
0.998,0.0,0.0,0.0,0.0,0.001,0.0
0.997,0.002,0.001,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.097,0.001,0.273,0.0,0.0,0.628,0.001
0.483,0.014,0.0,0.502,0.0,0.0,0.0
0.014,0.98,0.0,0.001,0.0,0.0,0.005
0.931,0.01,0.025,0.0,0.0,0.033,0.001
0.794,0.03,0.003,0.108,0.002,0.057,0.004
0.984,0.002,0.012,0.001,0.001,0.001,0.0
0.944,0.012,0.022,0.003,0.001,0.014,0.005
0.994,0.002,0.0,0.001,0.002,0.0,0.001
0.914,0.023,0.006,0.005,0.001,0.045,0.007
0.385,0.599,0.001,0.002,0.0,0.001,0.012
0.999,0.0,0.0,0.0,0.001,0.0,0.0
0.917,0.0,0.0,0.0,0.082,0.001,0.0
0.007,0.0,0.0,0.0,0.993,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.987,0.0,0.0,0.004,0.009,0.0,0.0
0.004,0.0,0.0,0.0,0.996,0.0,0.0
0.85,0.0,0.0,0.002,0.148,0.0,0.0
0.994,0.001,0.001,0.001,0.002,0.001,0.0
0.997,0.001,0.002,0.0,0.0,0.0,0.0
0.994,0.0,0.004,0.0,0.0,0.001,0.001
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.983,0.0,0.0,0.017,0.0,0.0,0.0
0.927,0.0,0.0,0.073,0.0,0.0,0.0
0.975,0.006,0.0,0.0,0.016,0.0,0.003
0.999,0.0,0.0,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.603,0.316,0.028,0.02,0.001,0.026,0.007
0.581,0.354,0.001,0.047,0.0,0.004,0.012
0.867,0.106,0.001,0.014,0.0,0.002,0.009
0.945,0.045,0.001,0.001,0.004,0.0,0.005
0.014,0.461,0.431,0.001,0.0,0.064,0.03
0.999,0.0,0.0,0.0,0.0,0.001,0.0
0.971,0.0,0.003,0.0,0.0,0.021,0.005
0.184,0.815,0.001,0.0,0.0,0.0,0.0
0.992,0.003,0.0,0.005,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.969,0.0,0.0,0.028,0.0
0.962,0.021,0.015,0.0,0.0,0.002,0.0
0.865,0.023,0.0,0.112,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.922,0.0,0.019,0.0,0.0,0.059,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.854,0.01,0.093,0.0,0.0,0.04,0.003
0.997,0.0,0.002,0.0,0.0,0.0,0.0
0.082,0.489,0.187,0.015,0.0,0.124,0.103
0.825,0.16,0.005,0.004,0.001,0.002,0.003
0.891,0.037,0.021,0.009,0.001,0.033,0.009
0.999,0.0,0.001,0.0,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.982,0.001,0.0,0.013,0.003,0.001,0.0
0.995,0.001,0.002,0.001,0.001,0.001,0.0
0.881,0.03,0.022,0.01,0.027,0.014,0.016
0.789,0.056,0.05,0.002,0.009,0.058,0.036
0.993,0.003,0.002,0.0,0.001,0.001,0.001
0.997,0.001,0.001,0.0,0.0,0.001,0.0
0.997,0.001,0.001,0.0,0.0,0.001,0.0
0.997,0.001,0.0,0.001,0.0,0.0,0.0
0.962,0.005,0.008,0.0,0.001,0.023,0.002
0.939,0.015,0.006,0.002,0.0,0.037,0.001
0.455,0.404,0.037,0.001,0.0,0.027,0.075
0.217,0.651,0.033,0.004,0.0,0.02,0.074
0.813,0.084,0.023,0.013,0.002,0.041,0.025
0.995,0.001,0.003,0.0,0.0,0.0,0.0
0.988,0.002,0.0,0.005,0.004,0.0,0.0
0.999,0.001,0.0,0.0,0.0,0.0,0.0
0.977,0.009,0.0,0.0,0.0,0.0,0.013
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.992,0.0,0.0,0.003,0.005,0.0,0.0
0.761,0.0,0.0,0.239,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.973,0.0,0.0,0.024,0.003,0.0,0.0
0.983,0.013,0.0,0.0,0.002,0.0,0.002
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.996,0.0,0.0,0.004,0.0,0.0,0.0
0.991,0.0,0.0,0.002,0.0,0.0,0.007
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.02,0.0,0.0,0.0
0.864,0.0,0.0,0.069,0.065,0.0,0.001
0.959,0.0,0.0,0.041,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998,0.0,0.0,0.002,0.0,0.0,0.0
0.435,0.0,0.0,0.565,0.0,0.0,0.0
0.999,0.0,0.001,0.0,0.0,0.0,0.0
0.998,0.0,0.001,0.0,0.0,0.001,0.0
0.994,0.0,0.005,0.0,0.001,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.993,0.001,0.0,0.005,0.0,0.0,0.0
0.994,0.002,0.001,0.001,0.0,0.001,0.001
0.906,0.027,0.024,0.004,0.002,0.021,0.015
0.979,0.009,0.007,0.0,0.001,0.002,0.003
0.985,0.005,0.004,0.0,0.001,0.002,0.003
0.985,0.006,0.002,0.002,0.003,0.001,0.001
0.997,0.001,0.0,0.001,0.0,0.0,0.0
0.991,0.004,0.001,0.001,0.0,0.001,0.001
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.002,0.0,0.0,0.002,0.0
0.242,0.332,0.077,0.005,0.002,0.287,0.054
0.902,0.079,0.002,0.003,0.0,0.003,0.01
0.946,0.037,0.008,0.004,0.0,0.002,0.003
0.982,0.002,0.013,0.0,0.0,0.001,0.001
0.985,0.002,0.006,0.002,0.002,0.002,0.0
0.902,0.016,0.043,0.002,0.009,0.011,0.016
0.967,0.008,0.013,0.002,0.007,0.002,0.002
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.704,0.025,0.0,0.0,0.24,0.001,0.029
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999,0.0,0.0,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.005,0.014,0.0,0.002,0.005,0.074
0.981,0.0,0.0,0.013,0.0,0.006,0.0
0.963,0.006,0.011,0.002,0.003,0.003,0.011
0.905,0.041,0.013,0.002,0.0,0.008,0.031
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.969,0.0,0.002,0.0,0.0,0.029,0.0
0.078,0.919,0.003,0.0,0.0,0.0,0.0
0.996,0.0,0.003,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.048,0.0,0.0,0.952,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.005,0.0,0.0,0.0,0.0
0.057,0.005,0.013,0.0,0.0,0.899,0.026
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.467,0.186,0.011,0.151,0.0,0.184,0.0
0.995,0.005,0.0,0.0,0.0,0.0,0.0
0.976,0.007,0.015,0.0,0.0,0.002,0.0
0.998,0.0,0.002,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.687,0.0,0.307,0.0,0.0,0.005,0.001
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999,0.0,0.001,0.0,0.0,0.0,0.0
0.99,0.001,0.0,0.006,0.0,0.003,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.977,0.0,0.007,0.0,0.0,0.016,0.0
0.998,0.0,0.001,0.0,0.0,0.001,0.0
0.957,0.041,0.001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.223,0.011,0.68,0.0,0.0,0.085,0.001
0.994,0.0,0.005,0.0,0.0,0.002,0.0
0.036,0.764,0.134,0.0,0.0,0.052,0.013
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.751,0.018,0.074,0.001,0.008,0.142,0.006
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.967,0.006,0.006,0.002,0.001,0.018,0.001
0.956,0.004,0.001,0.027,0.001,0.01,0.001
0.914,0.036,0.016,0.015,0.001,0.006,0.013
0.994,0.002,0.001,0.0,0.002,0.0,0.0
0.995,0.001,0.001,0.001,0.0,0.001,0.001
0.983,0.004,0.003,0.002,0.006,0.001,0.001
0.998,0.001,0.001,0.0,0.001,0.0,0.0
